kode_prov;kode_kab;tahun;q;adhb_or_adhk;status_data;c_pdrb;c_1;c_1a;c_1b;c_1c;c_1d;c_1e;c_1f;c_1g;c_1h;c_1i;c_1j;c_1k;c_1l;c_2;c_3;c_4;c_4a;c_4b;c_5;c_6;c_7
16;00;2014;1;1;3;72976800.44641620;49898306.65846720;25264873.84379930;4389901.06795133;2119588.58388030;3250842.28794149;1665250.01338085;1695474.85834243;2970867.62843319;1867332.59493009;937265.40488374;1604678.45757964;2461117.18635903;1671114.73098584;1057542.06703670;5206363.33180349;29376754.41333770;23902496.67709430;5474257.73624332;1066074.35413981;21671269.57510140;35299509.95347010
16;00;2014;2;1;3;74991879.05620370;50562215.45324230;24790410.51328270;4583787.18555659;2178890.64060146;3373749.01699257;1796848.12569637;1773963.04752600;2987914.88578649;2087180.11322296;1008271.76396657;1719762.32269052;2527314.52042581;1734123.31749424;1178051.78587619;5853042.13556508;30745124.05383160;25230364.31562260;5514759.73820905;688912.67221923;22650988.43174380;36686455.47627450
16;00;2014;3;1;3;79886561.88201960;53103296.93942420;26029025.97520460;4458478.58135219;2315532.75091142;3486182.77804158;1853998.97339389;1818662.06217784;3461159.18040574;2238603.82368124;1078387.63061923;1786176.75861526;2671108.52923551;1905979.89578568;1127775.91419183;6037430.89261751;32070970.04115310;25962308.17442190;6108661.86673116;550065.49531054;22046674.01740210;35049651.41807970
16;00;2014;4;1;3;78566359.90079880;54644574.57177800;26168497.22835350;5103933.25631724;2256138.62151861;3697957.87847785;1929084.39607540;1906822.85744733;3587269.29353098;2360508.60693754;1120035.84034175;1839965.79374890;2789884.57135873;1884476.22767027;1155416.84189528;7347936.13001392;33204778.60323790;27091022.07947050;6113756.52376738;-466381.34108891;22055536.67152990;39375501.57656730
16;00;2014;1;2;3;58531087.58146870;37739442.71736470;18203872.59115210;2951606.33244807;1645519.17452903;2445823.70898875;1335441.57439281;1350457.57871928;2790172.18706444;1482333.71009821;795584.70015761;1312200.03445191;1973668.70484503;1452762.42051744;886530.50000000;4152391.23172807;21946778.33123320;16462016.52085820;5484761.81037505;965407.76999807;22456202.65689030;29615665.62574560
16;00;2014;2;2;3;60572630.34238810;38185013.71034790;18197045.34360500;2988338.70350650;1704521.28140045;2504074.27083393;1363439.26235973;1387643.20725926;2880914.88578649;1513017.82051685;813441.07572070;1357625.50217516;2028396.85514735;1446555.50203649;952318.62000000;4510845.57197336;23220492.97977100;17819433.80453570;5401059.17523533;463334.54793556;24197323.64715030;30956698.73479000
16;00;2014;3;2;3;63015184.45032830;39954561.90848250;19110972.40160460;3058688.06939178;1788102.06543486;2618676.23147501;1432320.37630824;1411384.78171864;3030192.48444202;1580000.28173776;835024.58050403;1420497.89593632;2093044.42946997;1575658.31045928;887853.72000000;4554004.86492810;23722061.31093920;17825648.52800350;5896412.78293569;507498.53342417;23724050.69049000;30334846.57793570
16;00;2014;4;2;3;61178869.13023650;40551704.02649430;19230264.77354430;3156593.26182407;1752762.88363566;2664237.97650087;1486668.06914066;1422261.32763975;3113164.59544868;1615472.29251753;855801.60969500;1443699.74209966;2188038.43933930;1622739.05510882;899707.20000000;5650430.18737047;24515081.12654070;18594127.04508670;5920954.08145393;-321306.60063797;23201929.16652940;33318675.97606030
16;00;2015;1;1;3;78936226.95581780;53257869.14663120;24473702.59985000;5169425.25024659;2318049.73097167;3790029.42236565;1984495.83106687;1931474.49398697;3548574.79028763;2274839.69678885;1102008.57927714;1874785.57369642;2845368.02609417;1945115.15199913;1110787.71096023;5581662.21656031;28600544.44889310;22725731.70189810;5874812.74699499;387529.08417171;21643881.21667980;31646046.86807850
16;00;2015;2;1;3;82752324.25804910;54615567.63617310;25353659.59231900;5354166.29740529;2392500.69332218;3832449.36310931;2077410.32860285;1863405.97138725;3565486.07317941;2304615.74977198;1021151.90863469;2064564.72230759;2809142.17820531;1977014.75792828;1248293.15490135;6218456.64434960;30012861.47924770;23942562.25087670;6070299.22837103;453254.34167334;23978231.24266340;33774340.24095950
16;00;2015;3;1;3;86477052.01743630;56718110.72131890;26141036.90182580;5682576.26591392;2456671.94830549;3920544.24534441;2167730.01929921;1942725.55373219;3780857.41240396;2442731.11919849;1059293.39657285;2130920.47300436;2956774.65135369;2036248.73436451;1256139.13117804;6442508.85217685;31189028.31256790;25188291.10051510;6000737.21205277;826746.69976528;28356183.14752600;38311664.84709660
16;00;2015;4;1;3;83600098.48226660;57896112.41373140;26723179.82167750;5818361.91932298;2463264.77360655;4042908.18851842;2176345.50651517;1975097.98308765;3953582.19175465;2497294.27128633;1071805.76690838;2147093.12936892;2985695.37099499;2041483.49068992;1271755.81434121;7647072.65406069;34064382.61237380;27749213.97110960;6315168.64126423;-793135.68095284;22634055.03991480;39120144.37120260
16;00;2015;1;2;3;61262869.14866760;39832788.83765090;18483510.52488860;3169219.63487136;1753242.22382111;2682354.79474108;1488898.07124437;1431079.34787112;3100073.49390190;1614313.62815766;850964.28100265;1446009.66168702;2189164.94696945;1623958.22849458;869497.17760000;4329272.97279740;21941926.27561140;16459336.80433750;5482589.47127394;478289.88891340;22605552.14470230;28794458.14860790
16;00;2015;2;2;3;63364780.76042230;40413524.56723100;18860763.18276190;3210419.49012469;1800375.61495461;2701667.74926321;1544731.74891604;1373836.17395627;3100121.72908239;1646720.98036885;810703.29552771;1559521.42012945;2179730.03769748;1624933.14444834;975925.48233344;4694675.91854278;23011040.34923200;17356627.78340560;5654412.56582640;353677.21649519;22636139.11777740;28720201.89118950
16;00;2015;3;2;3;65843491.62452970;41296288.41683530;19349878.80993260;3276157.20844842;1842577.93481564;2706369.25315381;1569753.07873612;1399452.07827173;3201495.49719449;1691431.63790040;813934.18151712;1579759.00317621;2216592.45927936;1648887.27440942;992373.82468768;4785951.39650644;23719821.41621240;18115023.57709750;5604797.83911491;695442.03556860;25291677.39697790;30938062.86225870
16;00;2015;4;2;3;63573734.10101260;41754162.90808770;19566623.52940120;3302483.47173060;1843413.03125218;2759137.17547404;1572905.74384361;1403888.58625509;3325665.10831967;1693319.84800570;816369.98422383;1585166.41935302;2234444.54154142;1650745.46868729;1002245.88784150;5657577.37531877;24965369.89455560;19044414.10741660;5920955.78713901;-584345.24983425;20703734.43461260;29925011.14956930
16;00;2016;1;1;3;84745617.57716120;58471776.18441200;27056448.29764160;5898164.18930735;2486120.70114205;4080075.18605625;2192270.84162715;1999411.27368162;3939361.65983146;2489298.29173485;1070350.17455610;2147427.35998320;3058273.08315675;2054575.12569361;1282217.15049440;5615075.40226451;33071269.52334350;26393651.88218370;6677617.64115977;430053.76890111;21485698.30281110;35610472.75506540
16;00;2016;2;1;3;87899191.70715970;59512095.78026810;27613486.21661190;5994177.87091881;2538898.59858957;4087428.53099074;2200222.79678029;2044939.79753728;3995784.42117388;2536703.19955967;1082735.70354336;2198117.64522707;3130143.28918019;2089457.71015530;1304658.11282966;7225545.58032123;34147170.33401610;27479305.92168570;6667864.41233039;753573.83684587;22469982.26866630;37513834.20578750
16;00;2016;3;1;3;91727079.77222540;60960452.26885250;28304189.74139040;6086644.72470545;2597554.11630574;4147793.70530126;2241116.27461328;2085111.09773444;4088356.81770122;2624043.48786192;1113296.80337173;2272245.61720359;3252608.46229037;2147491.42037316;1348976.75452315;5876096.39728891;34447090.53569460;27789533.82283880;6657556.71285576;152709.15407665;27073259.21277700;38131504.55098740
16;00;2016;4;1;3;89495075.56580900;62033014.63002100;28841103.70566730;6155451.57100903;2632911.27639375;4213448.39187550;2285761.63418081;2113038.02603937;4141149.58110820;2676092.39964252;1131427.63426658;2314394.64991843;3345634.22860643;2182601.53131312;1375338.93327604;7597226.13892111;35560510.23074420;28957534.22290630;6602976.00783782;-900531.77533528;27236253.96810000;43406736.55991800
16;00;2016;1;2;3;64282903.09544700;42078298.52911680;19685490.76734230;3342608.64591213;1860826.68337719;2772013.14895958;1578410.91394706;1439828.13406322;3348279.63105624;1700770.45533692;845269.48166535;1590555.98517882;2257584.04232791;1656660.63995009;1005529.74515922;3934000.33128184;24139130.42299550;18005020.22751950;6134110.19547601;277045.12437005;20102381.70881000;27253482.76628640
16;00;2016;2;2;3;66584159.79370100;42434894.94554300;19877055.90782300;3368630.95045689;1879591.04311497;2774419.82819987;1581151.68650123;1455387.37408219;3371047.93254742;1716320.04487164;850045.01546007;1608528.36919214;2282691.69485240;1670025.09844121;1011588.71903063;5084063.25172481;24812837.14373210;18740353.75000000;6072483.39373209;267724.21333972;20694766.42981570;27721714.90948500
16;00;2016;3;2;3;69104721.61959930;42914404.12256330;20104748.49962120;3392736.42605735;1899585.91477160;2793502.79922755;1594746.00247190;1468555.97434764;3406932.42949238;1743725.14974072;861355.82977164;1633643.06730207;2323528.29120483;1691343.73855433;1029666.63703850;4143057.80879723;25836595.96846030;19791438.75000000;6045157.21846030;87422.58679885;24516826.93768310;29423252.44174190
16;00;2016;4;2;3;66885616.25235380;43104656.91345130;20214779.85387120;3402952.31152111;1901841.31728250;2815695.15351305;1610582.37835276;1472690.93005219;3408488.94256149;1746115.09821255;862339.64118699;1634398.50354847;2341019.26008209;1693753.52326692;1031500.44147491;5398361.94808067;26521333.49922760;20529978.18001160;5991355.31921600;-510933.29259059;24729757.71221940;33389060.96950940
16;00;2017;1;1;3;91091267.43844000;62980492.00674900;29401231.07945290;6175944.34941068;2636824.62554170;4247879.58722701;2312405.11049326;2145598.65108358;4279970.21067470;2731434.13148648;1163240.10721226;2326150.97648657;3373213.92048982;2186599.25719001;1394993.80257021;5723418.19615737;33520707.48700980;27229084.45638450;6291623.03062531;107940.08084662;30196775.68665690;42833059.82154990
16;00;2017;2;1;3;94972722.14981170;63938132.74525350;29803430.19834000;6184558.45937558;2666101.42200791;4297869.62092439;2356299.66240047;2184139.93408173;4417238.96489756;2811030.39785141;1186639.05626561;2388278.11074063;3388983.15764442;2253563.76072379;1455118.23888953;6837372.57600696;35078302.46513400;28486077.80544790;6592224.65968605;600145.51990454;30200790.45637250;43137139.85174940
16;00;2017;3;1;3;99484114.37984490;64993017.49302230;30137713.75069300;6233591.03826526;2715772.53798905;4382467.77239817;2403654.65649107;2243716.67384324;4547515.40353113;2889272.16241455;1208128.27913613;2437906.31471047;3475293.78991055;2317985.11363967;1421292.39153133;7297360.27625065;37830174.41209530;30588737.96041890;7241436.45167647;217972.02533004;32497898.59790490;44773600.81628960
16;00;2017;4;1;3;97337597.31508100;65365479.37940760;30256189.68776000;6181981.08326583;2716213.33996688;4499164.53798080;2454286.22397531;2261498.43454199;4523426.21531748;2887999.14797443;1221314.64799470;2481984.97655466;3562588.24154098;2318832.84253453;1417236.61331479;10044424.54891890;40568850.71153880;32603112.59386950;7965738.11766930;-736419.88020302;34197834.31682980;53519808.37472580
16;00;2017;1;2;3;67630679.24938510;43352803.49881890;20389347.96844590;3405913.41356889;1902524.37296687;2821524.28336305;1615583.78651613;1478732.22360055;3438181.36902318;1755241.67512467;868778.59576165;1636503.00475125;2345908.18919328;1694564.61650341;1034464.18922224;4127675.60015974;24940600.55679160;19278592.78985020;5662007.76694142;72564.86115386;27343611.62541330;33241041.08217450
16;00;2017;2;2;3;70104169.02057740;43716036.00020300;20587919.32830170;3407329.82029931;1910145.41900375;2831403.06392314;1622332.53182913;1486624.77935824;3498179.50322388;1773619.62804960;876358.92518360;1655929.11640025;2349175.77933357;1717018.10529677;1059283.05405006;4728630.07914164;25983365.08095470;20111605.34132160;5871759.73963307;400618.35058821;27220168.07403420;33003931.61839440
